"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Create course","LMS service","Wed Apr 15 19:22:30 UTC 2026","passed","Wed Apr 15 19:22:30 UTC 2026","Create entity","Courses","",""
"","15","Get exercises","LMS service","Wed Apr 15 19:22:35 UTC 2026","passed","Wed Apr 15 19:22:35 UTC 2026","Get entities","Exercises","",""
"","17","Update exercise","LMS service","Wed Apr 15 19:22:33 UTC 2026","passed","Wed Apr 15 19:22:33 UTC 2026","Update entity","Exercises","",""
"","43","Create file with empty filename","LMS service","Wed Apr 15 19:22:37 UTC 2026","passed","Wed Apr 15 19:22:37 UTC 2026","Validate entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Wed Apr 15 19:22:39 UTC 2026","passed","Wed Apr 15 19:22:39 UTC 2026","Validate entity","Files","",""
"","11","Get file","LMS service","Wed Apr 15 19:22:37 UTC 2026","passed","Wed Apr 15 19:22:37 UTC 2026","Get entity","Files","",""
"","18","Delete exercise","LMS service","Wed Apr 15 19:22:34 UTC 2026","passed","Wed Apr 15 19:22:34 UTC 2026","Delete entity","Exercises","",""
"","322","Create user","LMS service","Wed Apr 15 19:22:39 UTC 2026","passed","Wed Apr 15 19:22:39 UTC 2026","Create entity","Users","",""
"","593","Create user","LMS service","Wed Apr 15 19:22:39 UTC 2026","passed","Wed Apr 15 19:22:40 UTC 2026","Create entity","Users","",""
"","26","Update course","LMS service","Wed Apr 15 19:22:31 UTC 2026","passed","Wed Apr 15 19:22:31 UTC 2026","Update entity","Courses","",""
"","11","Get user me","LMS service","Wed Apr 15 19:22:40 UTC 2026","passed","Wed Apr 15 19:22:40 UTC 2026","Get entity","Users","",""
"","327","Delete file","LMS service","Wed Apr 15 19:22:38 UTC 2026","passed","Wed Apr 15 19:22:38 UTC 2026","Delete entity","Files","",""
"","18","Get exercise","LMS service","Wed Apr 15 19:22:34 UTC 2026","passed","Wed Apr 15 19:22:34 UTC 2026","Get entity","Exercises","",""
"","17","Create exercise","LMS service","Wed Apr 15 19:22:33 UTC 2026","passed","Wed Apr 15 19:22:33 UTC 2026","Create entity","Exercises","",""
"","601","Create user","LMS service","Wed Apr 15 19:22:39 UTC 2026","passed","Wed Apr 15 19:22:39 UTC 2026","Create entity","Users","",""
"","303","Create file with empty directory","LMS service","Wed Apr 15 19:22:38 UTC 2026","passed","Wed Apr 15 19:22:38 UTC 2026","Validate entity","Files","",""
"","24","Get courses","LMS service","Wed Apr 15 19:22:31 UTC 2026","passed","Wed Apr 15 19:22:31 UTC 2026","Get entities","Courses","",""
"","617","Login with correct email and password","LMS service","Wed Apr 15 19:22:29 UTC 2026","passed","Wed Apr 15 19:22:30 UTC 2026","Login","Authentication","",""
"","49","Create file","LMS service","Wed Apr 15 19:22:35 UTC 2026","passed","Wed Apr 15 19:22:36 UTC 2026","Create entity","Files","",""
