"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Get file with incorrect file id","LMS service","Sun Mar 29 16:00:16 UTC 2026","passed","Sun Mar 29 16:00:16 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Sun Mar 29 16:00:17 UTC 2026","passed","Sun Mar 29 16:00:17 UTC 2026","Get entity","Users","",""
"","12","Get file","LMS service","Sun Mar 29 16:00:14 UTC 2026","passed","Sun Mar 29 16:00:14 UTC 2026","Get entity","Files","",""
"","15","Get exercise","LMS service","Sun Mar 29 16:00:11 UTC 2026","passed","Sun Mar 29 16:00:11 UTC 2026","Get entity","Exercises","",""
"","13","Get exercises","LMS service","Sun Mar 29 16:00:13 UTC 2026","passed","Sun Mar 29 16:00:13 UTC 2026","Get entities","Exercises","",""
"","31","Create course","LMS service","Sun Mar 29 16:00:08 UTC 2026","passed","Sun Mar 29 16:00:08 UTC 2026","Create entity","Courses","",""
"","284","Login with correct email and password","LMS service","Sun Mar 29 16:00:07 UTC 2026","passed","Sun Mar 29 16:00:08 UTC 2026","Login","Authentication","",""
"","493","Create user","LMS service","Sun Mar 29 16:00:16 UTC 2026","passed","Sun Mar 29 16:00:17 UTC 2026","Create entity","Users","",""
"","18","Delete exercise","LMS service","Sun Mar 29 16:00:12 UTC 2026","passed","Sun Mar 29 16:00:12 UTC 2026","Delete entity","Exercises","",""
"","297","Update course","LMS service","Sun Mar 29 16:00:09 UTC 2026","passed","Sun Mar 29 16:00:09 UTC 2026","Update entity","Courses","",""
"","494","Create user","LMS service","Sun Mar 29 16:00:15 UTC 2026","passed","Sun Mar 29 16:00:16 UTC 2026","Create entity","Users","",""
"","21","Update exercise","LMS service","Sun Mar 29 16:00:10 UTC 2026","passed","Sun Mar 29 16:00:10 UTC 2026","Update entity","Exercises","",""
"","526","Create user","LMS service","Sun Mar 29 16:00:16 UTC 2026","passed","Sun Mar 29 16:00:16 UTC 2026","Create entity","Users","",""
"","36","Create file with empty filename","LMS service","Sun Mar 29 16:00:14 UTC 2026","passed","Sun Mar 29 16:00:14 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Sun Mar 29 16:00:15 UTC 2026","passed","Sun Mar 29 16:00:15 UTC 2026","Delete entity","Files","",""
"","27","Create exercise","LMS service","Sun Mar 29 16:00:10 UTC 2026","passed","Sun Mar 29 16:00:10 UTC 2026","Create entity","Exercises","",""
"","43","Create file","LMS service","Sun Mar 29 16:00:13 UTC 2026","passed","Sun Mar 29 16:00:13 UTC 2026","Create entity","Files","",""
"","24","Get courses","LMS service","Sun Mar 29 16:00:09 UTC 2026","passed","Sun Mar 29 16:00:09 UTC 2026","Get entities","Courses","",""
"","267","Create file with empty directory","LMS service","Sun Mar 29 16:00:15 UTC 2026","passed","Sun Mar 29 16:00:15 UTC 2026","Validate entity","Files","",""
