"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get file","LMS service","Sat Mar 28 14:01:49 UTC 2026","passed","Sat Mar 28 14:01:49 UTC 2026","Get entity","Files","",""
"","548","Create user","LMS service","Sat Mar 28 14:01:50 UTC 2026","passed","Sat Mar 28 14:01:51 UTC 2026","Create entity","Users","",""
"","21","Update exercise","LMS service","Sat Mar 28 14:01:45 UTC 2026","passed","Sat Mar 28 14:01:45 UTC 2026","Update entity","Exercises","",""
"","522","Create user","LMS service","Sat Mar 28 14:01:51 UTC 2026","passed","Sat Mar 28 14:01:51 UTC 2026","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Sat Mar 28 14:01:42 UTC 2026","passed","Sat Mar 28 14:01:42 UTC 2026","Login","Authentication","",""
"","12","Get user me","LMS service","Sat Mar 28 14:01:52 UTC 2026","passed","Sat Mar 28 14:01:52 UTC 2026","Get entity","Users","",""
"","291","Create user","LMS service","Sat Mar 28 14:01:51 UTC 2026","passed","Sat Mar 28 14:01:51 UTC 2026","Create entity","Users","",""
"","43","Create file with empty filename","LMS service","Sat Mar 28 14:01:49 UTC 2026","passed","Sat Mar 28 14:01:49 UTC 2026","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Sat Mar 28 14:01:47 UTC 2026","passed","Sat Mar 28 14:01:47 UTC 2026","Delete entity","Exercises","",""
"","294","Create exercise","LMS service","Sat Mar 28 14:01:45 UTC 2026","passed","Sat Mar 28 14:01:45 UTC 2026","Create entity","Exercises","",""
"","300","Update course","LMS service","Sat Mar 28 14:01:43 UTC 2026","passed","Sat Mar 28 14:01:44 UTC 2026","Update entity","Courses","",""
"","12","Get file with incorrect file id","LMS service","Sat Mar 28 14:01:51 UTC 2026","passed","Sat Mar 28 14:01:51 UTC 2026","Validate entity","Files","",""
"","286","Get exercise","LMS service","Sat Mar 28 14:01:46 UTC 2026","passed","Sat Mar 28 14:01:46 UTC 2026","Get entity","Exercises","",""
"","37","Create course","LMS service","Sat Mar 28 14:01:43 UTC 2026","passed","Sat Mar 28 14:01:43 UTC 2026","Create entity","Courses","",""
"","298","Get courses","LMS service","Sat Mar 28 14:01:44 UTC 2026","passed","Sat Mar 28 14:01:44 UTC 2026","Get entities","Courses","",""
"","44","Create file","LMS service","Sat Mar 28 14:01:48 UTC 2026","passed","Sat Mar 28 14:01:48 UTC 2026","Create entity","Files","",""
"","287","Get exercises","LMS service","Sat Mar 28 14:01:47 UTC 2026","passed","Sat Mar 28 14:01:48 UTC 2026","Get entities","Exercises","",""
"","266","Create file with empty directory","LMS service","Sat Mar 28 14:01:50 UTC 2026","passed","Sat Mar 28 14:01:50 UTC 2026","Validate entity","Files","",""
"","292","Delete file","LMS service","Sat Mar 28 14:01:50 UTC 2026","passed","Sat Mar 28 14:01:50 UTC 2026","Delete entity","Files","",""
