"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Delete exercise","LMS service","Thu Apr 23 19:11:51 UTC 2026","passed","Thu Apr 23 19:11:51 UTC 2026","Delete entity","Exercises","",""
"","43","Create file with empty directory","LMS service","Thu Apr 23 19:11:53 UTC 2026","passed","Thu Apr 23 19:11:53 UTC 2026","Validate entity","Files","",""
"","308","Create file","LMS service","Thu Apr 23 19:11:52 UTC 2026","passed","Thu Apr 23 19:11:52 UTC 2026","Create entity","Files","",""
"","305","Create file with empty filename","LMS service","Thu Apr 23 19:11:53 UTC 2026","passed","Thu Apr 23 19:11:53 UTC 2026","Validate entity","Files","",""
"","13","Get file with incorrect file id","LMS service","Thu Apr 23 19:11:55 UTC 2026","passed","Thu Apr 23 19:11:55 UTC 2026","Validate entity","Files","",""
"","29","Update course","LMS service","Thu Apr 23 19:11:47 UTC 2026","passed","Thu Apr 23 19:11:47 UTC 2026","Update entity","Courses","",""
"","15","Get exercises","LMS service","Thu Apr 23 19:11:51 UTC 2026","passed","Thu Apr 23 19:11:51 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Thu Apr 23 19:11:56 UTC 2026","passed","Thu Apr 23 19:11:56 UTC 2026","Get entity","Users","",""
"","19","Delete file","LMS service","Thu Apr 23 19:11:55 UTC 2026","passed","Thu Apr 23 19:11:55 UTC 2026","Delete entity","Files","",""
"","12","Get file","LMS service","Thu Apr 23 19:11:52 UTC 2026","passed","Thu Apr 23 19:11:52 UTC 2026","Get entity","Files","",""
"","579","Create user","LMS service","Thu Apr 23 19:11:55 UTC 2026","passed","Thu Apr 23 19:11:55 UTC 2026","Create entity","Users","",""
"","26","Create exercise","LMS service","Thu Apr 23 19:11:48 UTC 2026","passed","Thu Apr 23 19:11:48 UTC 2026","Create entity","Exercises","",""
"","328","Create user","LMS service","Thu Apr 23 19:11:55 UTC 2026","passed","Thu Apr 23 19:11:55 UTC 2026","Create entity","Users","",""
"","342","Create course","LMS service","Thu Apr 23 19:11:46 UTC 2026","passed","Thu Apr 23 19:11:47 UTC 2026","Create entity","Courses","",""
"","332","Get courses","LMS service","Thu Apr 23 19:11:48 UTC 2026","passed","Thu Apr 23 19:11:48 UTC 2026","Get entities","Courses","",""
"","623","Login with correct email and password","LMS service","Thu Apr 23 19:11:45 UTC 2026","passed","Thu Apr 23 19:11:46 UTC 2026","Login","Authentication","",""
"","28","Get exercise","LMS service","Thu Apr 23 19:11:49 UTC 2026","passed","Thu Apr 23 19:11:49 UTC 2026","Get entity","Exercises","",""
"","18","Update exercise","LMS service","Thu Apr 23 19:11:49 UTC 2026","passed","Thu Apr 23 19:11:49 UTC 2026","Update entity","Exercises","",""
"","592","Create user","LMS service","Thu Apr 23 19:11:55 UTC 2026","passed","Thu Apr 23 19:11:56 UTC 2026","Create entity","Users","",""
