"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","551","Login with correct email and password","LMS service","Sun Mar 29 17:13:58 UTC 2026","passed","Sun Mar 29 17:13:58 UTC 2026","Login","Authentication","",""
"","293","Delete file","LMS service","Sun Mar 29 17:14:06 UTC 2026","passed","Sun Mar 29 17:14:06 UTC 2026","Delete entity","Files","",""
"","292","Create exercise","LMS service","Sun Mar 29 17:14:00 UTC 2026","passed","Sun Mar 29 17:14:01 UTC 2026","Create entity","Exercises","",""
"","300","Update course","LMS service","Sun Mar 29 17:13:59 UTC 2026","passed","Sun Mar 29 17:14:00 UTC 2026","Update entity","Courses","",""
"","12","Get user me","LMS service","Sun Mar 29 17:14:08 UTC 2026","passed","Sun Mar 29 17:14:08 UTC 2026","Get entity","Users","",""
"","35","Create course","LMS service","Sun Mar 29 17:13:59 UTC 2026","passed","Sun Mar 29 17:13:59 UTC 2026","Create entity","Courses","",""
"","529","Create user","LMS service","Sun Mar 29 17:14:07 UTC 2026","passed","Sun Mar 29 17:14:07 UTC 2026","Create entity","Users","",""
"","559","Create user","LMS service","Sun Mar 29 17:14:06 UTC 2026","passed","Sun Mar 29 17:14:07 UTC 2026","Create entity","Users","",""
"","289","Get exercise","LMS service","Sun Mar 29 17:14:02 UTC 2026","passed","Sun Mar 29 17:14:02 UTC 2026","Get entity","Exercises","",""
"","18","Delete exercise","LMS service","Sun Mar 29 17:14:02 UTC 2026","passed","Sun Mar 29 17:14:02 UTC 2026","Delete entity","Exercises","",""
"","303","Get courses","LMS service","Sun Mar 29 17:14:00 UTC 2026","passed","Sun Mar 29 17:14:00 UTC 2026","Get entities","Courses","",""
"","13","Get file","LMS service","Sun Mar 29 17:14:04 UTC 2026","passed","Sun Mar 29 17:14:04 UTC 2026","Get entity","Files","",""
"","287","Create user","LMS service","Sun Mar 29 17:14:07 UTC 2026","passed","Sun Mar 29 17:14:07 UTC 2026","Create entity","Users","",""
"","292","Get exercises","LMS service","Sun Mar 29 17:14:03 UTC 2026","passed","Sun Mar 29 17:14:03 UTC 2026","Get entities","Exercises","",""
"","42","Create file with empty filename","LMS service","Sun Mar 29 17:14:04 UTC 2026","passed","Sun Mar 29 17:14:04 UTC 2026","Validate entity","Files","",""
"","264","Create file with empty directory","LMS service","Sun Mar 29 17:14:05 UTC 2026","passed","Sun Mar 29 17:14:06 UTC 2026","Validate entity","Files","",""
"","43","Create file","LMS service","Sun Mar 29 17:14:03 UTC 2026","passed","Sun Mar 29 17:14:03 UTC 2026","Create entity","Files","",""
"","17","Update exercise","LMS service","Sun Mar 29 17:14:01 UTC 2026","passed","Sun Mar 29 17:14:01 UTC 2026","Update entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Sun Mar 29 17:14:07 UTC 2026","passed","Sun Mar 29 17:14:07 UTC 2026","Validate entity","Files","",""
