"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","597","Create user","LMS service","Thu Apr 16 18:07:56 UTC 2026","passed","Thu Apr 16 18:07:57 UTC 2026","Create entity","Users","",""
"","325","Create user","LMS service","Thu Apr 16 18:07:57 UTC 2026","passed","Thu Apr 16 18:07:57 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Thu Apr 16 18:07:58 UTC 2026","passed","Thu Apr 16 18:07:58 UTC 2026","Get entity","Users","",""
"","590","Create user","LMS service","Thu Apr 16 18:07:57 UTC 2026","passed","Thu Apr 16 18:07:57 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Thu Apr 16 18:07:54 UTC 2026","passed","Thu Apr 16 18:07:54 UTC 2026","Get entity","Files","",""
"","20","Update exercise","LMS service","Thu Apr 16 18:07:50 UTC 2026","passed","Thu Apr 16 18:07:50 UTC 2026","Update entity","Exercises","",""
"","30","Update course","LMS service","Thu Apr 16 18:07:49 UTC 2026","passed","Thu Apr 16 18:07:49 UTC 2026","Update entity","Courses","",""
"","620","Login with correct email and password","LMS service","Thu Apr 16 18:07:47 UTC 2026","passed","Thu Apr 16 18:07:47 UTC 2026","Login","Authentication","",""
"","40","Create course","LMS service","Thu Apr 16 18:07:47 UTC 2026","passed","Thu Apr 16 18:07:47 UTC 2026","Create entity","Courses","",""
"","17","Get exercises","LMS service","Thu Apr 16 18:07:53 UTC 2026","passed","Thu Apr 16 18:07:53 UTC 2026","Get entities","Exercises","",""
"","48","Create file","LMS service","Thu Apr 16 18:07:53 UTC 2026","passed","Thu Apr 16 18:07:53 UTC 2026","Create entity","Files","",""
"","18","Get exercise","LMS service","Thu Apr 16 18:07:51 UTC 2026","passed","Thu Apr 16 18:07:51 UTC 2026","Get entity","Exercises","",""
"","23","Get courses","LMS service","Thu Apr 16 18:07:49 UTC 2026","passed","Thu Apr 16 18:07:49 UTC 2026","Get entities","Courses","",""
"","329","Delete file","LMS service","Thu Apr 16 18:07:56 UTC 2026","passed","Thu Apr 16 18:07:56 UTC 2026","Delete entity","Files","",""
"","20","Delete exercise","LMS service","Thu Apr 16 18:07:51 UTC 2026","passed","Thu Apr 16 18:07:52 UTC 2026","Delete entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Thu Apr 16 18:07:57 UTC 2026","passed","Thu Apr 16 18:07:57 UTC 2026","Validate entity","Files","",""
"","303","Create file with empty directory","LMS service","Thu Apr 16 18:07:55 UTC 2026","passed","Thu Apr 16 18:07:55 UTC 2026","Validate entity","Files","",""
"","47","Create file with empty filename","LMS service","Thu Apr 16 18:07:54 UTC 2026","passed","Thu Apr 16 18:07:54 UTC 2026","Validate entity","Files","",""
"","26","Create exercise","LMS service","Thu Apr 16 18:07:50 UTC 2026","passed","Thu Apr 16 18:07:50 UTC 2026","Create entity","Exercises","",""
