"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Get courses","LMS service","Wed Apr 15 19:25:24 UTC 2026","passed","Wed Apr 15 19:25:25 UTC 2026","Get entities","Courses","",""
"","246","Create file with empty directory","LMS service","Wed Apr 15 19:25:30 UTC 2026","passed","Wed Apr 15 19:25:30 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed Apr 15 19:25:32 UTC 2026","passed","Wed Apr 15 19:25:32 UTC 2026","Get entity","Users","",""
"","49","Create file","LMS service","Wed Apr 15 19:25:28 UTC 2026","passed","Wed Apr 15 19:25:28 UTC 2026","Create entity","Files","",""
"","43","Create course","LMS service","Wed Apr 15 19:25:23 UTC 2026","passed","Wed Apr 15 19:25:23 UTC 2026","Create entity","Courses","",""
"","22","Get exercise","LMS service","Wed Apr 15 19:25:27 UTC 2026","passed","Wed Apr 15 19:25:27 UTC 2026","Get entity","Exercises","",""
"","22","Delete exercise","LMS service","Wed Apr 15 19:25:27 UTC 2026","passed","Wed Apr 15 19:25:27 UTC 2026","Delete entity","Exercises","",""
"","42","Create file with empty filename","LMS service","Wed Apr 15 19:25:29 UTC 2026","passed","Wed Apr 15 19:25:29 UTC 2026","Validate entity","Files","",""
"","16","Get exercises","LMS service","Wed Apr 15 19:25:28 UTC 2026","passed","Wed Apr 15 19:25:28 UTC 2026","Get entities","Exercises","",""
"","31","Update course","LMS service","Wed Apr 15 19:25:24 UTC 2026","passed","Wed Apr 15 19:25:24 UTC 2026","Update entity","Courses","",""
"","22","Update exercise","LMS service","Wed Apr 15 19:25:26 UTC 2026","passed","Wed Apr 15 19:25:26 UTC 2026","Update entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Wed Apr 15 19:25:31 UTC 2026","passed","Wed Apr 15 19:25:31 UTC 2026","Validate entity","Files","",""
"","20","Create exercise","LMS service","Wed Apr 15 19:25:26 UTC 2026","passed","Wed Apr 15 19:25:26 UTC 2026","Create entity","Exercises","",""
"","280","Delete file","LMS service","Wed Apr 15 19:25:30 UTC 2026","passed","Wed Apr 15 19:25:31 UTC 2026","Delete entity","Files","",""
"","522","Login with correct email and password","LMS service","Wed Apr 15 19:25:23 UTC 2026","passed","Wed Apr 15 19:25:23 UTC 2026","Login","Authentication","",""
"","14","Get file","LMS service","Wed Apr 15 19:25:29 UTC 2026","passed","Wed Apr 15 19:25:29 UTC 2026","Get entity","Files","",""
"","278","Create user","LMS service","Wed Apr 15 19:25:31 UTC 2026","passed","Wed Apr 15 19:25:31 UTC 2026","Create entity","Users","",""
"","501","Create user","LMS service","Wed Apr 15 19:25:31 UTC 2026","passed","Wed Apr 15 19:25:32 UTC 2026","Create entity","Users","",""
"","501","Create user","LMS service","Wed Apr 15 19:25:31 UTC 2026","passed","Wed Apr 15 19:25:31 UTC 2026","Create entity","Users","",""
